#bytes,#iterations,BWpeak[MiB/sec],BWaverage[MiB/sec],MsgRate[Mpps]
64,5000,277.95,277.47,4.545993
128,5000,553.84,513.53,4.206877
256,5000,1103.59,1021.05,4.182211
512,5000,2195.03,2190.64,4.486437
1024,5000,4390.05,4357.82,4.462412
2048,5000,8684.49,8667.46,4.437739
4096,5000,17120.42,15206.87,3.892959
8192,5000,23456.65,23427.89,2.998770
16384,5000,23413.61,22512.40,1.440793
32768,5000,23528.73,23526.06,0.752834
65536,5000,23413.61,23284.53,0.372552
131072,5000,23408.24,23253.85,0.186031
262144,5000,23309.36,23257.11,0.093028
524288,5000,23400.64,23332.94,0.046666
1048576,5000,23455.08,23383.28,0.023383
2097152,5000,23418.87,23352.14,0.011676
4194304,5000,23429.23,23347.20,0.005837
8388608,5000,23431.30,23372.04,0.002922
16777216,5000,23367.42,23354.70,0.001460